Hisse,Adı,Sektör,Alt Grup,Açıklama,Beta,Fiyat/Kazanç Oranı,PD/DD Oranı,Fiyat/Satış Oranı,Kâr Marjı (%),Dolaşımdaki Lot,Toplam Gelir,Net Kâr,Son Kapanış Fiyatı,52 Hafta En Yüksek,52 Hafta En Düşük,Ortalama Hacim (10 gün),Temettü Verimi (%),Son Temettü Tarihi,Piyasa Değeri,Son Fiyat,1 Ay Değişim (%),3 Ay Değişim (%),6 Ay Değişim (%),1 Yıl Değişim (%),3 Yıl Değişim (%),5 Yıl Değişim (%),Volatilite
A1CAP.IS,A1 CAPITAL YATIRIM,Financial Services,Capital Markets,"A1 Capital Yatirim Menkul Degerler A.S. operates as a brokerage company. It offers stock and VIOP transactions, investment consultancy, portfolio management, public offering, debt instrument issuances, company valuation, company acquisitions and merger, project finance, capital increase, and call transaction services. The company was registered in 1990 and is based in Istanbul, Turkey.",Bilinmiyor,20.745764,1.2906628,0.10139796,-0.486,135000000,32592371712,-158487584,24.06,37.82,23.08,970383,,Bilinmiyor,3304800000,,1.5767599782229857,-7.831325171,-12.38368263,-1.130858982,,,
ACSEL.IS,ACIPAYAM SELULOZ,Basic Materials,Chemicals,"Aciselsan Acipayam Selüloz Sanayi ve Ticaret A.S. purchases, produces, and sells cellulose and cellulose derivatives, and sodium carboxymethyl derivatives in Turkey. The company also engages in the import, export, and trading of various chemicals. Its products are used in detergents, paints, adhesives and thickeners, textiles, foods, oil drilling, ceramics, pharmaceuticals, cosmetics, and tiles and electrodes. The company was incorporated in 1973 and is based in Denizli, Turkey.",0.271,Bilinmiyor,2.9469182,2.6073687,12.982,10721700,521411296,67687840,126,195.6,89.75,538261,0.16,Bilinmiyor,1359511552,126.80000305175781,18.50467574930637,7.1049205380607825,-7.95186272,23.08763446936342,,1940.7762503356605,0.6041205848589255
ADEL.IS,ADEL KALEMCILIK,Industrials,Business Equipment & Supplies,"Adel Kalemcilik Ticaret ve Sanayi A.S. produces, manufactures, and sells stationery products in Turkey. It offers wood-walled pencils, crayons and copy pens, ballpoint, liquid ink pens, markers, felt-tip pens, pastels, watercolors, erasers, sharpeners, finger paints, play dough, and gouache paints; and toys. The company offers its products under the Faber-Castell, Graf von Faber-Castell, Adel, and Panfix, and Citizen brands. It exports its products to approximately 40 countries. The company was incorporated in 1967 and is headquartered in Ümraniye, Turkey. Adel Kalemcilik Ticaret ve Sanayi A.S. operates as a subsidiary of AG Anadolu Grubu Holding A.S.",0.464,Bilinmiyor,5.7741985,5.464699,11.55,259875008,1636850944,189048992,34.72,358,28.477272,3069447,1.6500000000000001,Bilinmiyor,8944897024,34.41999816894531,-4.864571922,-7.940063374,-13.63364742,-87.58958527,,181.64022809341452,1.2377866190909224
ADESE.IS,ADESE GAYRIMENKUL,Real Estate,Real Estate - Diversified,"Adese Gayrimenkul Yatirim A.S. operates in the real estate investment sector. The company engages in the operation and management of shopping malls, residential, and entertainment centers. Adese Gayrimenkul Yatirim A.S. was founded in 1991 and is based in Selçuklu, Turkey.",Bilinmiyor,1.106599,0.2603296,5.317755,404.06899999999996,1008000000,413227008,1670294016,2.21,3.19,1.67,74943454,,Bilinmiyor,2197440000,2.180000066757202,7.920796403042599,10.101012411974777,-0.456620557,28.99408242285184,,33.38351003248307,0.5526420087986277
ADGYO.IS,ADRA GMYO,Real Estate,REIT - Residential,"Adra Gayrimenkul Yatirim Ortakligi Anonim Sirketi engages in the real estate investment activities. It also undertakes and sells housing projects. The company was incorporated in 2020 and is based in Izmir, Turkey.",Bilinmiyor,13.973452,2.0266974,33.620884,63.52100000000001,293700000,275871552,175236960,31.5,41.48,25.2,1612392,,Bilinmiyor,9275045888,,2.6657987279671316,-8.357513747,7.781572511993838,10.111574573473488,,,
AEFES.IS,ANADOLU EFES,Consumer Defensive,Beverages - Non-Alcoholic,"Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi, together with its subsidiaries, engages in the production, bottling, distribution, and sale of beer, malt, and non-alcoholic beverages in Turkey and internationally. The company operates through Beer Group and Soft Drinks segments. It is also involved in the production and distribution of carbonated and low alcoholic beverages, water, fruit juice concentrates, purees and fresh fruit, and carbonated soft drinks under the Coca-Cola Company trademark. In addition, it leases intellectual property and related products. Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi was incorporated in 1966 and is based in Istanbul, Turkey.",0.72,11.753769,1.6129811,0.86349756,7.3460005,592105024,1.60387E+11,11782689792,229.5,304.75,122.2,3808221,1,Bilinmiyor,1.38493E+11,233.89999389648438,7.048052126537471,16.25248381919912,2.994270194,82.26047953140028,,1232.776447330311,0.41433282079314193
AFYON.IS,AFYON CIMENTO,Basic Materials,Building Materials,"Afyon Çimento Sanayi Türk Anonim Sirketi engages in the production and sale of cement in Turkey. It offers Portland cement and Portland composite base ash additive cement, as well as clinkers to the construction industry. The company was incorporated in 1954 and is based in Istanbul, Turkey. Afyon Çimento Sanayi Türk Anonim Sirketi operates as a subsidiary of Cimsa Cimento Sanayi ve Ticaret Anonim Sirketi.",-0.23,5.532319,1.07698,2.7009296,48.928002,400000000,2154813696,1054317632,14.41,17.58,10.25,16029174,2.78,Bilinmiyor,5820000256,14.550000190734863,0.1376494021420195,-4.52755637,14.747632811931219,45.60532726357405,,592.7762497435881,0.5045497413300399
AGESA.IS,AGESA HAYAT EMEKLILIK,Financial Services,Insurance - Diversified,"AgeSA Hayat ve Emeklilik Anonim Sirketi engages in the pension and life insurance business primarily in Turkey. It offers credit-linked life and non-credit-linked life policies, such as term life, return of premium, critical illness, and unemployment. The company also provides life savings products, which are written for a contract period. In addition, it offers coverage against disability, death, and medical expenses due to accident. Further, the company provides a range of individual and corporate pension plans, and a range of funds and fund consultancy services. The company was formerly known as AvivaSA Emeklilik ve Hayat A.S. and changed its name to AgeSA Hayat ve Emeklilik Anonim Sirketi in August 2021. The company was founded in 1941 and is based in Istanbul, Turkey.",0.728,11.36329,8.832061,1.4646243,10.481,180000000,18336442368,1921754624,149.6,154.5,52.65,283847,1.43,Bilinmiyor,26855999488,149.1999969482422,9.304027068309296,23.40777093894875,17.203451195189874,176.55235373181682,,1145.386730710829,0.4387319706860651
AGHOL.IS,ANADOLU GRUBU HOLDING,Industrials,Conglomerates,"AG Anadolu Grubu Holding A.S., together with its subsidiaries, engages in the beer, soft drinks, automotive, and other businesses in Turkey and internationally. The company operates through Beer, Soft Drinks, Migros, Automotive, Agriculture, Energy, and Industry, and Other segments. It also produces and sells beer and malt, and carbonated and non-carbonated beverages; and involved in passenger and commercial vehicles business. In addition, the company imports, distributes, markets, and rents motor vehicles; and engages in generators, and spares and component part activities. Further, it is involved in the production of industrial engines; sale of tractors; production of writing instruments; distribution of other imported stationery products; wholesale and retail sale of electricity, insurance agency business; and production, distribution, and transmission of electricity businesses, as well as operates distribution facilities; and provision of IT, internet, and e-commerce services. Additionally, the company purchases, sells, rents, and manages real estate properties; and leases intellectual property. AG Anadolu Grubu Holding A.S. was formerly known as Yazicilar Holding A.S. and changed its name to AG Anadolu Grubu Holding A.S. in December 2017. The company was founded in 1950 and is based in Istanbul, Turkey.",0.206,14.246769,0.95971507,0.22009745,1.544,243535008,3.90313E+11,6016836096,351.75,477.5,182.8,660556,0.7900001,Bilinmiyor,85906972672,352.75,3.75,9.210526315789473,0.7137758743754461,87.4451953,,1977.0782677135994,0.46500160802748575
AGROT.IS,AGROTECH TEKNOLOJI,Industrials,Conglomerates,"Agrotech Yuksek Teknoloji Ve Yatirim Anonim Sirketi operates as an agricultural and high-technology company in Turkey and internationally. The company's products include tomato, cherry, hazelnut, walnut, apple, pear, peach, nectarine, cucumber, plum, and grape. It also provides software consultancy services. The company was founded in 2013 and is based in Istanbul, Turkey.",Bilinmiyor,51.75,2.510917,5.623723,11.145,1200000000,2208501504,246138064,10.45,47.24,10.26,98503908,,Bilinmiyor,12420000768,,-10.62175777,-30.06756589,-35.87360116,-11.38698535,,,
